"Features","Overall"
"Total_Leaf_Number",5.04356365785965
"Disk.diameter",4.87758420207608
"Primary.branches",4.57428585769343
"Total.RGB",4.360852708228
"Phyllaries.length",3.69328599228308
"Seed.perimeter",3.45242145710023
"Leaf.total.N",3.42408044674697
"Seed.rectangular",3.41099983238425
"Seed.maximum.height",3.24894088415304
"Seed.height.mid.width",3.17369003495167
"Seed.curved.height",2.9620145920986
"RGB.proportion.green",2.79517693465331
"Leaf.C.N.ratio",2.79041492018381
"Specific_Leaf_Area",2.71521471117926
"RGB.proportion.blue",2.7055195355348
"Seed.area",2.60220144605391
"Days.to.budding",2.47040864314946
"Leaf.shape.index.external.I",2.32798997392596
"Leaf.shape.index.internal",2.28895411690704
"Stem.colour",2.24152710570862
"Days_to_flowering",2.04679523948923
"Leaf.proximal.eccentricity",1.9749510538447
"Distance.of.first.branching.from.ground",1.88161087903473
"Flower.FHDD.ratio",1.80184968457612
"Ligules.number",1.76843401700665
"Phyllaries.width",1.70930976844235
"Plant.height.at.flowering",1.70812804907453
"Leaf.height.mid.width",1.68615334164654
"Leaf.curvedHeight.maxWidth",1.6858492988146
"Leaf.ellipsoid",1.68377504312174
"Internode.length",1.58561880617153
"Phyllaries.diameter",1.55849403483264
"Leaf.maximum.width",1.50087414822748
"Petiole.main.veins.colour",1.50078078768288
"RGB.proportion.red",1.4288968667132
"Flower.head.diameter",1.40227319022408
"Seed.shape.index.external.II",1.39557836494435
"Leaf.maximum.height",1.36017406514294
"Seed.shape.index.internal",1.35157896737532
"Leaf.perimeter",1.34318636838129
"Seed.width.mid.height",1.23854683695341
"Seed.shape.index.external.I",1.17399998988098
"Darker.axillae1",1.17216180280162
