"Features","Overall"
"Total.RGB",7.24145755359316
"Primary.branches",5.97591190593256
"RGB.proportion.red",5.53157833739279
"Total_Leaf_Number",5.49353780742402
"Phyllaries.length",5.09030607685141
"Leaf.total.N",4.93675122358663
"Specific_Leaf_Area",4.88043720471064
"Leaf.C.N.ratio",4.87312806217401
"Seed.rectangular",4.15513778075134
"Leaf.shape.index.external.I",4.15203991218243
"Seed.maximum.height",4.1118219393971
"Seed.curved.height",4.07843321465918
"Seed.proximal.eccentricity",3.97838142372612
"Ligule.width",3.90531395119019
"Seed.area",3.73050449617398
"Seed.height.mid.width",3.68192232695752
"Seed.perimeter",3.57325822642975
"Flower.FHDD.ratio",3.50390158826727
"Days.to.budding",3.49238533140988
"Disk.diameter",3.39512260043943
"Leaf.shape.index.internal",3.25990955152725
"Phyllaries.diameter",2.86879558522992
"Seed.width.mid.height",2.85321751245108
"Disk.to.phyllaries.diameter.ratio",2.77763593337667
"Seed.maximum.width",2.62454942540047
"Flower.head.diameter",2.59761491998291
"Phyllaries.width",2.57487053538964
"Ligules.number",2.50174129624049
"Seed.ellipsoid",2.49301152525308
"RGB.proportion.green",2.49168923401119
"Seed.shape.index.internal",2.45694632500745
"RGB.proportion.blue",2.36781545319682
"Stem.diameter.at.flowering",2.35994234546613
"Stem.colour",2.34754527193012
"Seed.width.widest.pos",2.3079019830282
"Seed.eccentricity.area.index",2.26844000760598
"Leaf.ellipsoid",2.25283350592266
"Distance.of.first.branching.from.ground",2.23764872670872
"Plant.height.at.flowering",2.22861245541288
"Seed.distal.eccentricity",2.15665148922249
"Leaf.distal.eccentricity",2.15303717347765
"Leaf.perimeter",2.14048303104558
"Days_to_flowering",2.12768053585829
"Seed.eccentricity",2.07200572330153
"Seed.shape.index.external.II",2.07178445057658
"Darker.axillae1",2.0622805954649
"Leaf.curvedHeight.maxWidth",1.93692220376221
"Leaf.height.mid.width",1.89822973389214
"Leaf.proximal.eccentricity",1.87997700797932
"Stem.diameter.final.after.5th.node",1.83175657065194
"Ligule.length",1.70967656853196
